country,city,postalCode,provinceState,streetName
Kiribati,Wilsonview,09397,Oklahoma,Kevin Causeway
Guam,Bryanfort,08962,Vermont,Meyers Lodge
Switzerland,Moralesberg,60484,Michigan,Saunders Trail
South Georgia and the South Sandwich Islands,Hortonport,18065,Alaska,Brian Green
Jersey,South Alejandro,85457,New Hampshire,Fuentes Drive
Korea,Lake Thomas,62621,Maine,Mejia Islands
Ghana,North Robertmouth,98307,Nebraska,Jeremy Points
Australia,Harmonshire,92586,Ohio,Stanley Hill
Brazil,North Emilymouth,79205,Massachusetts,Beth Ranch
Iceland,Harrishaven,24499,Rhode Island,Brown Square
Palau,Sydneyburgh,42984,Nevada,Adkins Terrace
Iraq,South Sherrytown,61735,Washington,Amber Dam
Algeria,Lake Matthewfurt,32151,Texas,Jason Plains
Australia,East Christineshire,97576,Kentucky,Robert Way
Uzbekistan,New Mark,23881,Connecticut,Morgan Drive
Lithuania,West Jason,48487,Michigan,Diaz Meadow
Seychelles,Richardville,61611,Vermont,Johnson Track
Mali,Port Brianstad,50600,Delaware,Holly Skyway
Cambodia,Port Brandonport,28411,Massachusetts,Mckenzie Burgs
Mexico,North Jennifermouth,42193,Wisconsin,Neal Freeway
Antarctica (the territory South of 60 deg S),Ruthville,92007,Washington,Jennings Walks
Honduras,West Sierra,79683,Massachusetts,Fox Valleys
Azerbaijan,Lancemouth,86631,Wyoming,Sally Spring
Romania,Marvinberg,16922,California,Jack Creek
Thailand,Rachelmouth,50340,Ohio,Bennett Meadows
Algeria,Debratown,47121,Utah,Marks Forks
Senegal,Frazierstad,69908,New York,Kristen Forges
Mongolia,Murphyshire,08723,Tennessee,Willis Key
Armenia,Tracimouth,72849,Massachusetts,Julie Ramp
Eritrea,South Evan,20856,Virginia,Collins Island
Western Sahara,Amyborough,85589,Arizona,Grant Stream
Bolivia,South Kenneth,58160,Maine,Lewis Views
Norway,Reyesmouth,85037,Alabama,Wayne Street
Heard Island and McDonald Islands,Horneside,53931,Oklahoma,Brown Valley
Burundi,North Sandra,14582,Nevada,Robinson Divide
Ireland,Lindastad,63429,Pennsylvania,Banks Mall
Isle of Man,Bautistamouth,22696,Oregon,Daniel Parkway
Venezuela,West Johnton,25675,Maryland,Grant Street
Tonga,Shelbychester,66669,Pennsylvania,Smith Mews
Sweden,Marthaton,54123,Texas,Stuart Underpass
Kyrgyz Republic,Linstad,10423,Maryland,Park Mews
Algeria,Adamshire,71225,Utah,Melanie Stream
Bangladesh,Hallville,70210,Arizona,Walker Light
Macao,New Audrey,28222,Florida,Gordon Coves
Portugal,Lake Thomaston,32016,Colorado,Thomas Mission
Netherlands Antilles,New Jasonland,78891,Delaware,Anderson Oval
Bouvet Island (Bouvetoya),Williefort,61924,Kentucky,Graham Walk
Cook Islands,Lake Kathy,02057,Minnesota,Walker Manor
Ethiopia,East Jasonport,58134,Nevada,Olsen Park
Northern Mariana Islands,Port Christopher,36593,New York,Whitney Greens
India,Campbellbury,69898,North Carolina,Barnes Route
Congo,Wyattfurt,19479,Oregon,Nicole Street
United States of America,Doylestad,00616,Virginia,Simpson Mission
Zambia,Lake Sethmouth,09025,Wyoming,Brandon Spring
China,South Thomas,59424,West Virginia,Joshua Lake
Montserrat,Port Peggy,32109,California,Dixon Fords
Turkmenistan,New Alexandra,56892,Maine,Rachael Mall
Kazakhstan,South Andreaberg,92675,Texas,Smith Tunnel
Finland,Franciscoland,44644,Hawaii,King Centers
Isle of Man,Port Kristychester,36281,West Virginia,Myers Loaf
Saint Pierre and Miquelon,Port Bradley,47384,South Carolina,Kevin Course
Uzbekistan,North Seanville,24238,Idaho,Stephanie Prairie
Afghanistan,Mcculloughfort,46227,Arizona,Nicole Passage
Nigeria,Anthonyfurt,19274,Texas,Jason Land
Vietnam,New Brandyfurt,00787,Arkansas,Sarah Course
Christmas Island,Curtishaven,18953,Kansas,Bridges Ridges
Cayman Islands,New Alexander,74279,Nebraska,Hutchinson Lock
Egypt,Wallerview,47015,Minnesota,Nancy Turnpike
New Zealand,Michelleport,07315,Kentucky,Bobby Parkway
Uruguay,South Kathyton,10728,Idaho,Rachel Ports
Bolivia,Lake Eric,75831,Connecticut,Dean Ranch
Northern Mariana Islands,Crosbyland,48287,Kansas,Rose Glen
Marshall Islands,East Jesse,19463,Rhode Island,Moore Turnpike
Bhutan,South Lisa,83873,Indiana,Tanya Plain
Thailand,North Ashleyborough,50359,Tennessee,Porter Passage
Libyan Arab Jamahiriya,South Elizabethbury,29401,Illinois,John Ridges
Iraq,North Sheilashire,39544,Texas,Cannon Lights
Djibouti,West Steven,68915,Utah,Gregory Extensions
South Georgia and the South Sandwich Islands,Nicoleview,19673,Texas,James Mountain
Bermuda,Smithfort,45383,West Virginia,Michael Station
Brunei Darussalam,South Laurie,60503,Utah,Curtis Island
Guinea,Websterport,94446,New Hampshire,Romero Isle
Canada,New Jim,33236,Arizona,Nathaniel Land
Turks and Caicos Islands,Guzmanhaven,87916,Massachusetts,Wells Junction
Rwanda,Lake Christopher,18090,Ohio,Denise Drive
Thailand,Perkinsfort,53495,California,Warren Loaf
Panama,Rebeccabury,04828,North Dakota,Lynn Rapid
Saint Pierre and Miquelon,Millerfort,48650,Kentucky,Kirk Fork
Gambia,South Ivan,01641,Indiana,Robert Plains
Poland,Millsport,37263,Rhode Island,Gary Islands
Malawi,Davisberg,58335,Arizona,Sullivan Course
French Guiana,North Lisa,02334,Indiana,Jennings Bypass
Gibraltar,Lake David,61581,Minnesota,James Land
United States Virgin Islands,East Patricia,29142,Montana,Martinez Spurs
Holy See (Vatican City State),South Jessicaport,30743,Florida,Cooper Cliffs
Peru,South Stevenhaven,74289,California,Moore Cove
Latvia,Shannonton,54768,North Dakota,York Road
Bulgaria,East Krista,97800,Pennsylvania,Little Loop
Finland,East Erin,96546,Florida,Green Lights
Bahamas,East Tiffanymouth,95330,New Jersey,Atkins Gateway
French Southern Territories,Webbborough,69144,Washington,Alvarez Light
Aruba,East Cheryl,35154,Kentucky,Melissa Junctions
Guinea,New Stephen,40311,Rhode Island,Dawn Prairie
Samoa,Tylerchester,37788,Florida,Cory Squares
Haiti,North Aimeehaven,10457,Virginia,Jacobson Well
Angola,Russellville,41051,South Dakota,Miller Vista
Saint Martin,Lake Patrick,25705,Arkansas,Martinez Cove
Turks and Caicos Islands,Gentryport,34223,Louisiana,Joyce Tunnel
Hong Kong,Jamesborough,60598,Nebraska,Mills Walks
Gibraltar,Williamshire,04413,Mississippi,Gomez Prairie
Egypt,East Jaredside,90784,Kentucky,Michelle Cove
Botswana,Diazfurt,10336,Illinois,Moran Points
Tanzania,Dennisstad,29136,Oregon,Carlson Union
Mozambique,South Joshuaville,69230,Minnesota,Tara Way
Djibouti,Barnettside,88504,Massachusetts,Randall Springs
Svalbard & Jan Mayen Islands,Michaelmouth,28887,Arizona,Orr Harbor
Denmark,Lake Jordanside,70805,New Hampshire,Gonzalez Plains
Faroe Islands,Rowlandmouth,78231,Nevada,Rhonda Lights
Guyana,New Katrinabury,50846,Nevada,Jackson Prairie
Italy,North Todd,11758,New Mexico,Thomas Lights
Nepal,Kevinland,99619,Louisiana,Davis Point
Sri Lanka,North Nancymouth,69902,Kentucky,Joseph Mountains
Cameroon,East Lanceton,65439,Iowa,Emily Island
Saint Barthelemy,West Krista,59325,Illinois,Evelyn Village
Kuwait,Jonathanchester,63642,Michigan,Keith Tunnel
Libyan Arab Jamahiriya,Port Christopher,54686,Maryland,Oneill Spurs
Namibia,South Chadville,32536,Delaware,John Plaza
Korea,Wilkinsonshire,85192,South Carolina,Boyd Pines
Germany,Lake Adamland,55908,Rhode Island,Bright Way
Cambodia,Fergusonberg,58825,New Mexico,Cooper Isle
Bolivia,Richardshaven,12604,Virginia,Kristin Mountains
San Marino,New David,76620,Texas,Stephanie Manors
Comoros,Edwardfort,33500,Hawaii,Erickson Valleys
Turks and Caicos Islands,New Alexandriastad,46136,California,Cherry Parks
Guinea,Lake Mitchellchester,10017,South Carolina,Acosta Estates
Angola,Flemingbury,59199,Missouri,John Park
New Zealand,Jerryport,37818,Texas,Jones Stream
Equatorial Guinea,Joshuaton,07917,West Virginia,Shaun Village
Somalia,Wallerport,43041,Oklahoma,Nicole Mission
Brazil,Johnsonville,50344,Utah,Poole Road
Singapore,Blairside,20535,Nebraska,Reynolds Mission
Brazil,Lake Manuelchester,51440,South Carolina,Christopher Falls
French Southern Territories,Lake Richard,81546,Texas,Benjamin Causeway
Hungary,Darleneborough,70637,Idaho,Matthews Dale
Korea,North Francis,17876,New Mexico,Allison Forest
Tuvalu,Mcleanborough,81248,New Jersey,Logan Lane
Tanzania,Kathrynstad,78869,Florida,Nancy Tunnel
Portugal,Herreraborough,62717,Tennessee,Ray Oval
Vietnam,Latashaberg,01263,Texas,Jacob Cove
Egypt,Port Kimberlychester,49591,Florida,Cruz River
Suriname,Lake Bryanmouth,22696,Rhode Island,Lopez Cliffs
Guinea,Caseyberg,80218,Illinois,Wilcox Forest
Angola,West Christinaville,52487,Virginia,Hurley Field
Slovenia,Johnsonchester,15587,Rhode Island,Hutchinson Ports
Switzerland,Amandaberg,03640,Illinois,Ramirez Plaza
Denmark,Schultzport,52557,Kansas,Howard Shoal
Liberia,Lake Edwardfurt,98149,Massachusetts,Murray Well
Bulgaria,West Michael,08456,Florida,Gray Pike
Guinea-Bissau,East Heidi,23607,Nevada,Cole Locks
Heard Island and McDonald Islands,Karentown,84246,Michigan,Katrina Inlet
New Zealand,Thomasport,04068,Florida,Kidd Ways
Bouvet Island (Bouvetoya),North Adam,12795,Montana,Wilson Street
Yemen,Kaylatown,84382,Washington,Katherine Isle
Papua New Guinea,Elizabethborough,29473,Connecticut,William Land
Turkmenistan,West Kimberly,94266,New York,Smith Heights
Trinidad and Tobago,Port Susan,04418,Iowa,Tracy Points
Liechtenstein,East Michael,39631,Utah,Tiffany Flats
Maldives,New Tyler,28844,Arkansas,Miranda Drive
United Kingdom,Linside,71758,Texas,Christina Plaza
Congo,Lake Eric,22401,Oklahoma,Gould View
Seychelles,Port Erin,64279,Mississippi,Robert Cliffs
